  151  2
   50.0000    2.13524E+16    5.53881E+10
   51.0000    1.89666E+16    4.52354E+10
   52.0000    1.68465E+16    3.66581E+10
   53.0000    1.49597E+16    3.03681E+10
   54.0000    1.32903E+16    2.52382E+10
   55.0000    1.18064E+16    2.08736E+10
   56.0000    1.04521E+16    1.74864E+10
   57.0000    9.25190E+15    1.47291E+10
   58.0000    8.18985E+15    1.23831E+10
   59.0000    7.25195E+15    1.05443E+10
   60.0000    6.42505E+15    9.05934E+09
   61.0000    5.64810E+15    7.70968E+09
   62.0000    4.96978E+15    6.62472E+09
   63.0000    4.37081E+15    5.71702E+09
   64.0000    3.84566E+15    4.93014E+09
   65.0000    3.38411E+15    4.26397E+09
   66.0000    2.95571E+15    3.66213E+09
   67.0000    2.58219E+15    3.14511E+09
   68.0000    2.25567E+15    2.69552E+09
   69.0000    1.97128E+15    2.31034E+09
   70.0000    1.72208E+15    1.97867E+09
   71.0000    1.48896E+15    1.66019E+09
   72.0000    1.28836E+15    1.39014E+09
   73.0000    1.11455E+15    1.16359E+09
   74.0000    9.64730E+14    9.63671E+08
   75.0000    8.34155E+14    7.95198E+08
   76.0000    7.14145E+14    6.48230E+08
   77.0000    6.10980E+14    5.26971E+08
   78.0000    5.22945E+14    4.27349E+08
   79.0000    4.47376E+14    3.45374E+08
   80.0000    3.83315E+14    2.78593E+08
   81.0000    3.25890E+14    2.22127E+08
   82.0000    2.77415E+14    1.76464E+08
   83.0000    2.36044E+14    1.39242E+08
   84.0000    2.00973E+14    1.09269E+08
   85.0000    1.71054E+14    9.42506E+07
   86.0000    1.43597E+14    8.90586E+07
   87.0000    1.20566E+14    8.31185E+07
   88.0000    1.01181E+14    7.50867E+07
   89.0000    8.49620E+13    6.69670E+07
   90.0000    7.13085E+13    5.94855E+07
   91.0000    5.96640E+13    5.11975E+07
   92.0000    4.99107E+13    4.40212E+07
   93.0000    4.17700E+13    3.71545E+07
   94.0000    3.49377E+13    3.04971E+07
   95.0000    2.92228E+13    2.50235E+07
   96.0000    2.44177E+13    1.99127E+07
   97.0000    2.03841E+13    1.66131E+07
   98.0000    1.70314E+13    1.37954E+07
   99.0000    1.42248E+13    1.14510E+07
  100.0000    1.18839E+13    9.50715E+06
  101.0000    1.01524E+13    7.97734E+06
  102.0000    8.67310E+12    6.69370E+06
  103.0000    7.40935E+12    5.61661E+06
  104.0000    6.32975E+12    4.71284E+06
  105.0000    5.40750E+12    3.95449E+06
  106.0000    4.61958E+12    3.31817E+06
  107.0000    3.94648E+12    2.78424E+06
  108.0000    3.37144E+12    2.33622E+06
  109.0000    2.88020E+12    1.96030E+06
  110.0000    2.46054E+12    1.64486E+06
  111.0000    2.10202E+12    1.38019E+06
  112.0000    1.79574E+12    1.15810E+06
  113.0000    1.53410E+12    9.71749E+05
  114.0000    1.31056E+12    8.15384E+05
  115.0000    1.11961E+12    6.84180E+05
  116.0000    9.56475E+11    5.74088E+05
  117.0000    8.17110E+11    4.81710E+05
  118.0000    6.98050E+11    4.04198E+05
  119.0000    5.96340E+11    3.39158E+05
  120.0000    5.09450E+11    2.84584E+05
  121.0000    4.35220E+11    2.38791E+05
  122.0000    3.71806E+11    2.00367E+05
  123.0000    3.17632E+11    1.68126E+05
  124.0000    2.71350E+11    1.41072E+05
  125.0000    2.31813E+11    1.18372E+05
  126.0000    1.98036E+11    9.93248E+04
  127.0000    1.69182E+11    8.33424E+04
  128.0000    1.44530E+11    6.99317E+04
  129.0000    1.23472E+11    5.86789E+04
  130.0000    1.05481E+11    4.92368E+04
  131.0000    9.01115E+10    4.13141E+04
  132.0000    7.69820E+10    3.46662E+04
  133.0000    6.57650E+10    2.90880E+04
  134.0000    5.61825E+10    2.44074E+04
  135.0000    4.79965E+10    2.04800E+04
  136.0000    4.10032E+10    1.71845E+04
  137.0000    3.50287E+10    1.44194E+04
  138.0000    2.99248E+10    1.20991E+04
  139.0000    2.55646E+10    1.01522E+04
  140.0000    2.18396E+10    8.51863E+03
  141.0000    1.86574E+10    7.14789E+03
  142.0000    1.59390E+10    5.99771E+03
  143.0000    1.36166E+10    5.03261E+03
  144.0000    1.16326E+10    4.22281E+03
  145.0000    9.93760E+09    3.54331E+03
  146.0000    8.48965E+09    2.97315E+03
  147.0000    7.25265E+09    2.49474E+03
  148.0000    6.19590E+09    2.09331E+03
  149.0000    5.29310E+09    1.75647E+03
  150.0000    4.52186E+09    1.47384E+03
  151.0000    3.86300E+09    1.23668E+03
  152.0000    3.30014E+09    1.03768E+03
  153.0000    2.81928E+09    8.70709E+02
  154.0000    2.40850E+09    7.30603E+02
  155.0000    2.05756E+09    6.13041E+02
  156.0000    1.75776E+09    5.14396E+02
  157.0000    1.50164E+09    4.31624E+02
  158.0000    1.28284E+09    3.62171E+02
  159.0000    1.09592E+09    3.03893E+02
  160.0000    9.36245E+08    2.54994E+02
  161.0000    7.99825E+08    2.13962E+02
  162.0000    6.83285E+08    1.79533E+02
  163.0000    5.83730E+08    1.50644E+02
  164.0000    4.98675E+08    1.26404E+02
  165.0000    4.26015E+08    1.06064E+02
  166.0000    3.63942E+08    8.89974E+01
  167.0000    3.10914E+08    7.46767E+01
  168.0000    2.65611E+08    6.26604E+01
  169.0000    2.26910E+08    5.25776E+01
  170.0000    1.93848E+08    4.41173E+01
  171.0000    1.65603E+08    3.70184E+01
  172.0000    1.41474E+08    3.10617E+01
  173.0000    1.20860E+08    2.60635E+01
  174.0000    1.03250E+08    2.18696E+01
  175.0000    8.82055E+07    1.83506E+01
  176.0000    7.53535E+07    1.53977E+01
  177.0000    6.43740E+07    1.29201E+01
  178.0000    5.49945E+07    1.08411E+01
  179.0000    4.69814E+07    9.09664E+00
  180.0000    4.01358E+07    7.63289E+00
  181.0000    3.42878E+07    6.40468E+00
  182.0000    2.92918E+07    5.37409E+00
  183.0000    2.50238E+07    4.50934E+00
  184.0000    2.13777E+07    3.78374E+00
  185.0000    1.82628E+07    3.17489E+00
  186.0000    1.56018E+07    2.66402E+00
  187.0000    1.33286E+07    2.23535E+00
  188.0000    1.13865E+07    1.87566E+00
  189.0000    9.72740E+06    1.57384E+00
  190.0000    8.31005E+06    1.32059E+00
  191.0000    7.09925E+06    1.10809E+00
  192.0000    6.06485E+06    9.29789E-01
  193.0000    5.18115E+06    7.80176E-01
  194.0000    4.42622E+06    6.54638E-01
  195.0000    3.78129E+06    5.49299E-01
  196.0000    3.23033E+06    4.60911E-01
  197.0000    2.75965E+06    3.86745E-01
  198.0000    2.35755E+06    3.24513E-01
  199.0000    2.01404E+06    2.72296E-01
  200.0000    1.72058E+06    2.28480E-01
