;Vibrational transition probabilities for the NO-gamma bands
;From Luque and Crosley, J. Chem. Phys., 111 (16), 1999
;vu vl q r(A) lambda(A) f A(s-1)
0  0  0.16511 1.109 2265 3.559E-04 9.261E+05 2.20	
0  1  0.26181 1.087 2366 5.733E-04 1.368E+06 1.75	
0  2  0.23627 1.067 2474 5.262E-04 1.148E+06 1.28	
0  3  0.16042 1.048 2590 3.645E-04 7.252E+05 0.85	
0  4  0.09154 1.030 2716 2.131E-04 3.855E+05 0.40	
0  5  0.04651 1.014 2853 1.115E-04 1.828E+05 -0.09	
0  6  0.02179 0.998 3002 5.406E-05 8.010E+04 -0.50	
0  7  0.00964 0.983 3164 2.488E-05 3.318E+04 -1.00	
0  8  0.00409 0.969 3342 1.103E-05 1.319E+04 -1.52	
0  9  0.00168 0.955 3537 4.764E-06 5.084E+03 -1.97	
0 10  0.00068 0.942 3752 2.020E-06 1.916E+03 ...	
1  0  0.33339 1.136 2151 7.010E-04 2.023E+06 1.21
1  1  0.10453 1.11  2241 2.206E-04 5.863E+05 -1.13
1  2  0.00075 1.131 2338 2.125E-06 5.188E+03 ...
1  3  0.07052 1.075 2442 1.612E-04 3.608E+05 4.50
1  4  0.13235 1.055 2554 3.050E-04 6.243E+05 2.70
1  5  0.13224 1.037 2674 3.104E-04 5.794E+05 1.75
1  6  0.09822 1.02  2805 2.363E-04 4.011E+05 1.05
1  7  0.06119 1.004 2946 1.518E-04 2.335E+05 0.40
1  8  0.03396 0.989 3099 8.729E-05 1.213E+05 -0.11
1  9  0.0174  0.975 3266 4.656E-05 5.826E+04 -0.70
1 10  0.00842 0.961 3449 2.355E-05 2.642E+04 -1.27
2  0  0.29377 1.165 2049 6.057E-04 1.926E+06 -0.40	
2  1  0.01679 1.152 2131 3.542E-05 1.041E+05 8.20	
2  2  0.15546 1.119 2218 3.308E-04 8.973E+05 1.66	
2  3  0.07394 1.095 2312 1.564E-04 3.908E+05 -1.82	
2  4  0.00051 1.027 2412 6.320E-07 1.451E+03 ...	
2  5  0.03357 1.064 2519 8.082E-05 1.701E+05 7.20	
2  6  0.08636 1.044 2634 2.065E-04 3.974E+05 3.95	
2  7  0.10360 1.026 2758 2.516E-04 4.415E+05 2.57	
2  8  0.08884 1.01  2892 2.211E-04 3.529E+05 1.62	
2  9  0.06266 0.995 3037 1.608E-04 2.328E+05 0.90	
2 10  0.03891 0.981 3195 1.036E-04 1.355E+05 0.21	
3  0  0.14864 1.196 1958 2.998E-04 1.044E+06 -3.10
3  1  0.20176 1.173 2033 4.126E-04 1.333E+06 1.60
3  2  0.04385 1.139 2112 9.123E-05 2.731E+05 -3.00
3  3  0.04021 1.129 2196 8.651E-05 2.395E+05 6.50
3  4  0.11305 1.103 2286 2.427E-04 6.199E+05 1.40
3  5  0.04926 1.079 2382 1.040E-04 2.447E+05 -2.90
3  6  0.00045 1.010 2485 4.644E-07 1.004E+03 ...
3  7  0.02269 1.054 2595 5.746E-05 1.139E+05 9.00
3  8  0.06400 1.034 2714 1.588E-04 2.880E+05 5.00
3  9  0.08358 1.017 2841 2.100E-04 3.475E+05 3.30
3 10  0.07787 1.002 2978 2.004E-04 3.016E+05 2.18
