 3547    2
  210.0    1.60637E-25    0.5735794E-18
  210.1    1.60637E-25    0.5797657E-18
  210.2    1.60637E-25    0.5862004E-18
  210.3    1.60637E-25    0.593338E-18
  210.4    1.60637E-25    0.5996204E-18
  210.5    1.60637E-25    0.6068073E-18
  210.6    1.60637E-25    0.6135466E-18
  210.7    1.60637E-25    0.6215278E-18
  210.8    1.60637E-25    0.628321E-18
  210.9    1.60637E-25    0.6346104E-18
  211.0    1.60637E-25    0.6423316E-18
  211.1    1.60637E-25    0.6501066E-18
  211.2    1.60637E-25    0.6575841E-18
  211.3    1.60637E-25    0.6647967E-18
  211.4    1.60637E-25    0.6726374E-18
  211.5    1.60637E-25    0.6802835E-18
  211.6    1.60637E-25    0.688546E-18
  211.7    1.60637E-25    0.6975278E-18
  211.8    1.60637E-25    0.7052349E-18
  211.9    1.60637E-25    0.7128975E-18
  212.0    1.60637E-25    0.7216848E-18
  212.1    1.60637E-25    0.7295677E-18
  212.2    1.60637E-25    0.738976E-18
  212.3    1.60637E-25    0.7480164E-18
  212.4    1.60637E-25    0.7566467E-18
  212.5    1.60637E-25    0.7663667E-18
  212.6    1.60637E-25    0.7750369E-18
  212.7    1.60637E-25    0.7839344E-18
  212.8    1.60637E-25    0.7928576E-18
  212.9    1.60637E-25    0.8018699E-18
  213.0    1.60637E-25    0.8128225E-18
  213.1    1.60637E-25    0.8224511E-18
  213.2    1.60637E-25    0.8313181E-18
  213.3    1.60637E-25    0.8408202E-18
  213.4    1.60637E-25    0.8521804E-18
  213.5    1.60637E-25    0.8608881E-18
  213.6    1.60637E-25    0.8727991E-18
  213.7    1.60637E-25    0.8822191E-18
  213.8    1.60637E-25    0.8932537E-18
  213.9    1.60637E-25    0.9035103E-18
  214.0    1.60637E-25    0.9154517E-18
  214.1    1.60637E-25    0.9243609E-18
  214.2    1.60637E-25    0.9367475E-18
  214.3    1.60637E-25    0.9475548E-18
  214.4    1.60637E-25    0.9585495E-18
  214.5    1.60637E-25    0.9714751E-18
  214.6    1.60637E-25    0.9815747E-18
  214.7    1.60637E-25    0.9925764E-18
  214.8    1.60637E-25    1.006156E-18
  214.9    1.60637E-25    1.017959E-18
  215.0    1.60637E-25    1.031276E-18
  215.1    1.60637E-25    1.044138E-18
  215.2    1.60637E-25    1.054442E-18
  215.3    1.60637E-25    1.066332E-18
  215.4    1.60637E-25    1.077019E-18
  215.5    1.60637E-25    1.089556E-18
  215.6    1.60637E-25    1.100715E-18
  215.7    1.60637E-25    1.114224E-18
  215.8    1.60637E-25    1.124715E-18
  215.9    1.60637E-25    1.136068E-18
  216.0    1.60637E-25    1.141582E-18
  216.1    1.60637E-25    1.159508E-18
  216.2    1.60637E-25    1.172091E-18
  216.3    1.60637E-25    1.185565E-18
  216.4    1.60637E-25    1.199555E-18
  216.5    1.60637E-25    1.209842E-18
  216.6    1.60637E-25    1.224206E-18
  216.7    1.60637E-25    1.236626E-18
  216.8    1.60637E-25    1.253872E-18
  216.9    1.60637E-25    1.270064E-18
  217.0    1.60637E-25    1.286467E-18
  217.1    1.60637E-25    1.30041E-18
  217.2    1.60637E-25    1.314446E-18
  217.3    1.60637E-25    1.331013E-18
  217.4    1.60637E-25    1.343597E-18
  217.5    1.60637E-25    1.356368E-18
  217.6    1.60637E-25    1.369701E-18
  217.7    1.60637E-25    1.391798E-18
  217.8    1.60637E-25    1.407475E-18
  217.9    1.60637E-25    1.427346E-18
  218.0    1.60637E-25    1.442273E-18
  218.1    1.60637E-25    1.461535E-18
  218.2    1.60637E-25    1.47283E-18
  218.3    1.60637E-25    1.488459E-18
  218.4    1.60637E-25    1.505659E-18
  218.5    1.60637E-25    1.518125E-18
  218.6    1.60637E-25    1.535841E-18
  218.7    1.60637E-25    1.551986E-18
  218.8    1.60637E-25    1.569889E-18
  218.9    1.60637E-25    1.586526E-18
  219.0    1.60637E-25    1.601593E-18
  219.1    1.60637E-25    1.622753E-18
  219.2    1.60637E-25    1.632408E-18
  219.3    1.60637E-25    1.655278E-18
  219.4    1.60637E-25    1.671798E-18
  219.5    1.60637E-25    1.691177E-18
  219.6    1.60637E-25    1.709151E-18
  219.7    1.60637E-25    1.728202E-18
  219.8    1.60637E-25    1.74505E-18
  219.9    1.60637E-25    1.767241E-18
  220.0    1.60637E-25    1.783995E-18
  220.1    1.60637E-25    1.802976E-18
  220.2    1.60637E-25    1.823784E-18
  220.3    1.60637E-25    1.842156E-18
  220.4    1.60637E-25    1.861675E-18
  220.5    1.60637E-25    1.880117E-18
  220.6    1.60637E-25    1.902824E-18
  220.7    1.60637E-25    1.921523E-18
  220.8    1.60637E-25    1.942964E-18
  220.9    1.60637E-25    1.960234E-18
  221.0    1.60637E-25    1.980035E-18
  221.1    1.60637E-25    2.005436E-18
  221.2    1.60637E-25    2.023105E-18
  221.3    1.60637E-25    2.03911E-18
  221.4    1.60637E-25    2.06826E-18
  221.5    1.60637E-25    2.086116E-18
  221.6    1.60637E-25    2.104839E-18
  221.7    1.60637E-25    2.130006E-18
  221.8    1.60637E-25    2.148541E-18
  221.9    1.60637E-25    2.172537E-18
  222.0    1.60637E-25    2.193603E-18
  222.1    1.60637E-25    2.213966E-18
  222.2    1.60637E-25    2.234259E-18
  222.3    1.60637E-25    2.254435E-18
  222.4    1.60637E-25    2.277141E-18
  222.5    1.60637E-25    2.300176E-18
  222.6    1.60637E-25    2.325764E-18
  222.7    1.60637E-25    2.349315E-18
  222.8    1.60637E-25    2.370826E-18
  222.9    1.60637E-25    2.395759E-18
  223.0    1.60637E-25    2.417856E-18
  223.1    1.60637E-25    2.443913E-18
  223.2    1.60637E-25    2.46983E-18
  223.3    1.60637E-25    2.491904E-18
  223.4    1.60637E-25    2.514845E-18
  223.5    1.60637E-25    2.542683E-18
  223.6    1.60637E-25    2.5686E-18
  223.7    1.60637E-25    2.59618E-18
  223.8    1.60637E-25    2.621605E-18
  223.9    1.60637E-25    2.647991E-18
  224.0    1.60637E-25    2.681687E-18
  224.1    1.60637E-25    2.706737E-18
  224.2    1.60637E-25    2.734177E-18
  224.3    1.60637E-25    2.753064E-18
  224.4    1.60637E-25    2.781957E-18
  224.5    1.60637E-25    2.808576E-18
  224.6    1.60637E-25    2.835595E-18
  224.7    1.60637E-25    2.864347E-18
  224.8    1.60637E-25    2.890264E-18
  224.9    1.60637E-25    2.911213E-18
  225.0    1.60637E-25    2.941558E-18
  225.1    1.60637E-25    2.973169E-18
  225.2    1.60637E-25    2.989479E-18
  225.3    1.60637E-25    2.999906E-18
  225.4    1.60637E-25    3.021043E-18
  225.5    1.60637E-25    3.047827E-18
  225.6    1.60637E-25    3.065847E-18
  225.7    1.60637E-25    3.086608E-18
  225.8    1.60637E-25    3.104581E-18
  225.9    1.60637E-25    3.125835E-18
  226.0    1.60637E-25    3.133638E-18
  226.1    1.60637E-25    3.168623E-18
  226.2    1.60637E-25    3.200937E-18
  226.3    1.60637E-25    3.24232E-18
  226.4    1.60637E-25    3.2572E-18
  226.5    1.60637E-25    3.277657E-18
  226.6    1.60637E-25    3.307018E-18
  226.7    1.60637E-25    3.327569E-18
  226.8    1.60637E-25    3.363398E-18
  226.9    1.60637E-25    3.400586E-18
  227.0    1.60637E-25    3.423972E-18
  227.1    1.60637E-25    3.445811E-18
  227.2    1.60637E-25    3.483304E-18
  227.3    1.60637E-25    3.500129E-18
